Installation;Installation
The directory "application/configs" must be writable;The directory "application/configs" must be writable
All fields must be setted;All fields must be setted
Admin\'s password are not equal;Admin\'s password are not equal
Error during installation;Error during installation
Error message;Error message
Impossible to connecte to the database;Impossible to connecte to the database
Impossible to create tables;Impossible to create tables
Impossible to add admin account;Impossible to add admin account
Impossible to add Maerdo database entrie in maerdo DB;Impossible to add Maerdo database entrie in maerdo DB
Impossible to write database config file;Impossible to write database config file
Return to the install form;Return to the install form
Installation successfull;Installation successfull
Login form;Login form
The directorys  "application/configs" and "application/modules/maerdo/configs/" and theirs files must be writables;The directorys  "application/configs" and "application/modules/maerdo/configs/" and theirs files must be writables
