Acl;Acl
An error has occured when trying to add the Role.;Une erreur est survenue lors de l'ajout du role.
An error has occured when trying to delete the Role.;An error has occured when trying to delete the Role.
The Role has been created.;The Role has been created.
The Role has been deleted.;The Role has been deleted.
Add this role;Add this role
Authentification;Authentification
An error has occured when trying to update auth configuration or item was not modified.;An error has occured when trying to update auth configuration or item was not modified.
The authentification configuration has been update.;The authentification configuration has been update.
Database configuration;Database configuration
Database;Database
Table;Table
Username field;Username field
Password field;Password field
Role field;Role field
Redirection URL after authentification;Redirection URL after authentification
Cache;Cache
An error has occured when trying to add the cache.;An error has occured when trying to add the cache.
An error has occured when trying to delete the cache.;An error has occured when trying to delete the cache.
An error has occured when trying to update the cache.;An error has occured when trying to update the cache.
An error has occured when trying to set the default cache.;An error has occured when trying to set the default cache.
The cache has been created.;The cache has been created.
The cache has been deleted.;The cache has been deleted.
The cache has been updated.;The cache has been updated.
The cache has been setted as default.;The cache has been setted as default.
Name;Name
Frontend Type;Frontend Type
Backend support;Backend support
Default;Default
Actions;Actions
Set as default;Set as default
Backend;Backend
Cache dir;Cache dir
File locking;File locking
Read control;Read control
read_control_type;read_control_type
Hash directory level;Hash directory level
Hash directory umask;Hash directory umask
Metatadatas array max size;Metatadatas array max size
Cache db complete path;Cache db complete path
Automatic vacuum factor;Automatic vacuum factor
Frontend;Frontend
Writecontroler;Writecontroler
Caching;Caching
Cache id prefix;Cache id prefix
Automatic serialization;Automatic serialization
Automatic cleaning factor;Automatic cleaning factor
Lifetime;Lifetime
Logging;Logging
Logger;Logger
Database management;Database management
An error has occured when trying to add the database.;An error has occured when trying to add the database.
An error has occured when trying to delete the database.;An error has occured when trying to delete the database.
An error has occured when trying to delete the default database.;An error has occured when trying to delete the default database.
An error has occured when trying to set the default database.;An error has occured when trying to set the default database.
The database has been created.;The database has been created.
The database has been deleted.;The database has been deleted.
The default database has been deleted.;The default database has been deleted.
The default database has been setted.;The default database has been setted.
You must set a name to validate form.;You must set a name to validate form.
You must set a hostname to validate form.;You must set a hostname to validate form.
You must set a database name to validate form.;You must set a database name to validate form.
You must set a username to validate form.;You must set a username to validate form.
You must set a password to validate form.;You must set a password to validate form.
Add a database;Add a database
Adapter;Adapter
Host;Host
User;User
Password;Password
Action;Action
Hostname;Hostname
Username;Username
Select a  default database connection for a module;Select a  default database connection for a module
Set to default adapter;Set to default adapter
Module;Module
Edit a form;Edit a form
An error has occured when trying to delete the field.;An error has occured when trying to delete the field.
An error has occured when trying to add the field.;An error has occured when trying to add the field.
The field has been deleted.;The field has been deleted.
The field has been added.;The field has been added.
Parameters;Parameters
Form name;Form name
Template;Template
Action URL;Action URL
Method;Method
Fields;Fields
Add a field;Add a field
Field type;Field type
Field name;Field name
Edit a field;Edit a field
An error has occured when trying to update form option.;An error has occured when trying to update form option.
An error has occured when trying to delete the multioptions.;An error has occured when trying to delete the multioptions.
An error has occured when trying to delete the attribut.;An error has occured when trying to delete the attribut.
The field options has been updated.;The field options has been updated.
The multioption has been deleted.;The multioption has been deleted.
The attribut has been deleted.;The attribut has been deleted.
Return to form edition;Return to form edition
Options;Options
Validators;Validators
Filters;Filters
Add an option;Add an option
Add an attribute;Add an attribute
The validator has been added.;The validator has been added.
The validator has been deleted.;The validator has been deleted.
An error has occured when trying to add the validator.;An error has occured when trying to add the validator.
An error has occured when trying to delete the validator.;An error has occured when trying to delete the validator.
Add this validator;Add this validator
Add;Add
The Filter has been added.;The Filter has been added.
The filter has been deleted.;The filter has been deleted.
An error has occured when trying to add the filter.;An error has occured when trying to add the filter.
An error has occured when trying to delete the filter.;An error has occured when trying to delete the filter.
Add this filter;Add this filter
Edit a filter configuration;Edit a filter configuration
An error has occured when trying to update filter options.;An error has occured when trying to update filter options.
An error has occured when trying to update filter errors messages.;An error has occured when trying to update filter errors messages.
The filter options has been updated.;The filter options has been updated.
The filter errors messages has been updated.;The filter errors messages has been updated.
Return to field edition;Return to field edition
Add this option;Add this option
Other;Other
Option;Option
Value;Value
Delete;Delete
Edit a validator configuration;Edit a validator configuration
An error has occured when trying to update validator options.;An error has occured when trying to update validator options.
An error has occured when trying to update validator errors messages.;An error has occured when trying to update validator errors messages.
The validator options has been updated.;The validator options has been updated.
The validator errors messages has been updated.;The validator errors messages has been updated.
Messages;Messages
Type;Type
Error code;Error code
Message;Message
Personal;Personal
Forms;Forms
An error has occured when trying to add form.;An error has occured when trying to add form.
An error has occured when trying to delete form.;An error has occured when trying to delete form.
The form has been added.;The form has been added.
The form has been deleted.;The form has been deleted.
Add a form;Add a form
Plugins;Plugins
Select a plugin to enable;Select a plugin to enable
Translate;Translate
Select a module;Select a module
Application settings;Application settings
You need to set a value in all input box to valid form.;You need to set a value in all input box to valid form.
You need to select a default language.;You need to select a default language.
An error has occured when trying to update the translatation configuration.;An error has occured when trying to update the translatation configuration.
Translation configuration has been updated.;Translation configuration has been updated.
Translation configuration;Translation configuration
Add a language;Add a language
ID;ID
Locale;Locale
Language name;Language name
All field must be setted to valid form.;All field must be setted to valid form.
Error;Error
You need to select a database and a module.;You need to select a database and a module.
An error has occured when trying to update the form.;An error has occured when trying to update the form.
The form has been updated.;The form has been updated.
Fields list;Fields list
